age,home_ownership,income,vote20turnoutjb,particip_count,meeting,moneyorg,protest,online,persuade,button,loans2,diversity7,experts,compro1,compro2,pcorrect,expavoid,callout_social,callout_person,fttrump1,ftbiden1,ftobama1,ftpence1,ftyang1,ftpelosi1,ftrubio1,ftocasioc1,fthaley1,ftthomas1,ftfauci1
69,2,3,0,0,0,0,0,0,0,0,4,4,3,1,2,8,2,2,2,60,60,60,60,60,60,60,60,60,60,60
22,2,16,1,5,1,0,0,1,1,0,77,2,5,1,2,2,2,1,2,0,50,40,65,70,50,40,80,50,40,80
35,1,7,1,4,0,0,0,1,1,1,1,1,5,1,2,8,1,1,1,0,100,100,0,67,100,0,100,25,0,100
47,2,7,1,0,0,0,0,0,0,0,77,4,3,2,3,1,2,2,2,50,50,50,50,50,50,50,50,50,50,50
44,1,19,1,1,0,0,0,0,0,1,77,2,2,1,2,2,1,2,1,0,70,100,15,80,80,70,90,50,50,100
72,2,10,1,0,0,0,0,0,0,0,7,5,5,1,2,8,2,2,2,50,40,35,60,40,0,55,0,65,60,90
44,1,23,1,4,1,0,0,1,1,1,77,3,2,2,3,2,1,2,1,40,30,60,30,40,35,40,40,40,40,40
48,1,7,1,3,0,0,0,1,1,0,3,4,3,1,3,8,2,2,1,0,58,60,35,70,55,40,10,50,30,80
60,2,14,1,1,0,0,0,0,1,0,77,3,3,1,2,3,2,2,2,84,43,44,70,24,5,40,10,25,22,59
36,2,7,1,0,0,0,0,0,0,0,1,2,2,2,5,8,2,1,1,0,0,0,0,0,0,0,50,0,0,80
52,2,6,1,3,1,1,1,0,0,0,77,1,1,1,4,1,2,1,1,65,50,50,55,55,65,65,55,50,45,55
66,3,15,1,2,0,0,0,0,1,0,2,1,3,1,3,8,1,1,1,10,60,65,15,45,35,30,15,25,25,90
71,2,8,1,2,0,0,0,0,1,1,77,2,3,2,4,1,2,2,2,15,100,100,80,89,90,75,80,75,99,100
58,2,19,1,1,0,0,0,0,0,0,77,4,5,1,2,2,2,2,1,0,90,100,20,90,85,50,10,0,0,100
62,1,16,1,0,0,0,0,0,0,0,77,4,3,1,3,3,2,2,2,45,40,55,60,0,0,0,0,0,0,0
47,1,14,1,2,1,0,0,1,0,0,77,1,2,1,3,2,1,2,2,0,70,90,0,60,70,10,70,0,0,90
65,2,16,1,3,0,1,0,1,0,0,77,1,4,1,3,2,1,2,1,5,30,50,10,50,60,10,50,20,5,80
64,2,18,1,6,0,1,0,1,1,1,7,2,3,1,3,8,2,2,1,100,2,40,100,10,1,90,2,2,80,40
62,2,8,1,1,0,0,0,0,0,0,7,6,3,1,3,8,2,2,2,100,2,0,75,20,0,20,20,20,2,30
41,2,12,1,5,1,1,1,1,0,0,77,1,1,1,5,1,1,2,1,70,50,60,40,43,65,50,40,41,33,23
66,1,4,1,0,0,0,0,0,0,0,6,3,4,1,2,8,2,2,2,2,80,85,1,10,85,5,40,5,2,90
66,2,12,1,2,0,0,0,1,0,0,2,3,4,1,3,8,2,2,2,0,75,80,10,50,85,20,50,20,10,85
68,2,5,1,0,0,0,0,0,0,0,1,4,2,1,2,8,1,2,2,0,100,100,0,0,80,0,59,0,50,100
67,2,11,1,4,0,1,0,1,0,0,77,2,4,1,4,4,1,2,2,100,0,0,100,0,0,90,0,0,90,100
37,2,12,1,1,1,0,0,0,0,0,3,3,3,1,3,8,2,2,2,75,60,70,60,40,50,60,40,30,40,30
68,2,10,1,3,0,0,0,1,1,0,77,4,2,1,2,4,1,2,2,70,15,10,90,20,5,50,0,60,60,70
36,1,14,1,1,0,0,0,0,0,0,1,1,3,2,3,8,2,2,1,30,70,100,70,50,30,0,0,0,60,60
70,2,21,1,0,0,0,0,0,0,0,77,5,4,2,3,4,1,2,1,70,15,5,80,20,0,30,0,85,50,90
33,2,22,1,4,1,1,1,1,0,0,1,1,1,1,5,8,1,1,1,2,2,2,20,20,20,10,10,10,5,5
27,2,24,1,0,0,0,0,0,0,0,7,1,5,1,2,8,2,2,2,20,50,75,75,65,70,80,65,60,60,50
29,2,25,1,4,1,1,0,1,0,0,4,4,5,1,1,8,2,2,2,100,40,40,100,40,40,90,40,50,50,60
41,2,22,1,4,1,1,1,0,0,1,3,3,2,1,3,8,1,2,1,50,20,10,20,10,50,50,50,10,50,10
44,2,11,1,0,0,0,0,0,0,0,77,4,3,1,3,2,2,2,2,58,30,40,20,10,10,5,5,5,5,40
45,1,10,1,2,0,0,0,1,0,0,2,1,4,1,3,8,1,2,1,77,35,36,85,40,4,78,2,90,85,85
53,2,11,0,0,0,0,0,0,0,0,7,1,2,1,3,8,1,2,2,60,30,50,30,30,30,30,30,30,30,30
78,1,5,1,1,0,0,0,1,0,0,77,6,1,1,2,2,2,2,2,100,0,0,100,0,0,8,0,100,100,80
66,2,21,1,1,0,0,0,0,0,0,7,3,4,1,2,8,1,2,2,85,20,15,80,20,2,75,5,85,85,85
31,1,6,1,0,0,0,0,0,0,0,77,6,4,1,3,2,2,2,2,65,20,20,25,0,0,0,0,0,0,45
22,1,14,1,2,0,0,0,1,0,0,77,6,4,1,2,3,1,2,2,60,20,50,45,30,15,50,0,50,50,50
34,2,22,1,8,1,1,1,1,1,1,77,1,1,1,5,4,1,1,1,50,50,50,50,50,50,50,50,50,50,50
59,2,13,1,6,0,1,0,1,1,1,3,1,5,1,3,8,2,1,1,0,85,100,0,60,80,0,75,25,0,95
35,1,7,1,0,0,0,0,0,0,0,4,3,4,2,3,8,2,2,2,60,50,40,60,30,20,30,20,30,30,30
54,2,21,1,3,0,0,0,1,1,0,77,4,3,2,3,4,2,2,1,75,25,25,50,50,0,50,0,60,75,50
37,1,22,1,3,0,1,0,1,0,1,77,1,1,1,4,3,1,1,1,61,75,75,70,70,65,65,65,65,65,65
69,1,5,1,0,0,0,0,0,0,0,1,1,1,1,1,8,1,2,2,0,75,75,0,50,75,0,75,0,0,100
58,2,4,1,0,0,0,0,0,0,0,7,4,3,2,5,8,1,2,1,100,0,0,85,0,0,40,0,2,99,1
21,1,10,1,4,1,0,0,0,0,1,77,2,3,2,3,1,1,2,1,65,78,46,12,34,23,23,22,35,34,34
19,2,1,1,1,0,0,0,1,0,0,3,4,3,2,1,8,2,1,2,0,6,66,17,9,7,16,7,8,0,0
36,2,16,1,1,0,1,0,0,0,0,77,1,1,1,1,3,1,1,1,100,80,50,100,50,60,70,60,70,60,60
55,2,21,1,0,0,0,0,0,0,0,77,7,3,2,4,2,2,2,1,100,0,0,100,0,0,0,0,0,0,100
45,1,3,1,0,0,0,0,0,0,0,77,1,1,2,5,1,2,2,2,50,100,100,100,100,100,100,100,100,100,100
