HOUSEID,HHFAMINC,HOMEOWN,HHSIZE,YOUNGCHILD,URBAN,HHVEHCNT,HH_CBSA
30000008,8,1,2,0,4,4,33460
30000085,9,1,1,0,1,2,41740
30000107,8,1,2,0,1,3,19100
30000130,5,1,2,0,1,1,35620
30000161,7,1,3,0,1,2,26420
30000167,5,1,1,0,1,0,38060
30000227,6,1,2,0,1,2,40900
30000266,1,2,1,0,1,0,16980
30000271,4,1,1,0,1,1,33340
30000301,3,1,2,0,1,2,33340
30000302,11,1,3,0,1,3,26420
30000309,7,1,2,0,1,2,12420
30000341,6,1,3,0,1,2,12420
30000400,4,2,2,0,1,1,31080
30000428,8,1,1,0,1,1,26420
30000439,8,1,4,0,4,3,35620
30000450,5,2,1,0,1,0,41860
30000451,9,1,2,0,1,4,26420
30000496,8,1,2,0,1,1,35620
30000503,9,1,2,0,1,2,35620
30000518,8,1,2,0,1,2,41700
30000526,6,1,1,0,1,2,33340
30000539,6,1,1,0,1,1,33340
30000564,1,1,1,0,1,1,47260
30000582,8,1,2,0,1,2,12420
30000586,5,1,1,0,1,1,12420
30000616,5,2,2,0,1,1,19740
30000710,11,1,2,0,1,2,26420
30000763,6,1,1,0,1,2,19100
30000775,6,1,2,0,1,2,26420
30000784,11,1,1,0,1,3,41700
30000817,4,2,1,0,4,1,35620
30000828,2,1,1,0,4,1,26420
30000854,9,1,2,0,1,3,35620
30000860,8,1,2,0,1,1,42660
30000885,4,1,2,0,4,5,16740
30000931,5,1,2,0,1,3,33100
30000946,10,1,3,1,1,2,33460
30000960,3,1,4,2,1,2,41700
30001008,3,2,1,0,1,1,12580
30001013,5,1,1,0,1,1,31080
30001039,4,1,1,0,1,2,35620
30001095,6,1,2,0,1,3,40140
30001109,6,2,2,0,1,0,12060
30001117,4,1,2,0,1,2,16740
30001225,7,1,2,0,1,2,19100
30001250,8,2,1,0,1,1,42660
30001262,6,2,2,0,1,2,35620
30001270,7,1,2,0,2,2,19100
30001280,10,1,2,0,1,2,31080
30001301,11,2,2,0,1,2,26420
30001303,4,2,2,0,1,0,41740
30001344,3,1,1,0,1,1,41740
30001381,7,1,2,0,1,2,35620
30001384,5,1,2,0,1,2,40900
30001394,10,1,2,0,1,2,41740
30001396,6,2,2,0,1,1,35620
30001409,11,1,2,0,1,2,16980
30001442,11,1,2,0,1,3,26420
30001447,9,1,5,0,1,4,19100
30001475,6,1,1,0,1,1,35620
30001485,3,2,1,0,1,1,35620
30001506,6,1,2,0,2,2,19100
30001511,5,1,2,0,1,2,15380
30001549,2,2,1,0,1,2,33100
30001556,8,1,2,0,1,2,19100
30001593,5,1,2,0,1,1,41740
30001608,8,2,2,0,1,2,12060
30001625,1,2,1,0,1,0,35620
30001629,3,1,2,0,1,1,27260
30001645,6,1,2,0,1,2,16980
30001646,6,1,1,0,1,1,41700
30001654,10,1,5,3,1,3,19100
30001685,1,1,1,0,1,1,40060
30001707,1,2,1,0,1,1,19100
30001755,6,1,2,0,1,2,12060
30001757,8,1,1,0,1,2,41860
30001774,5,1,1,0,1,0,12060
30001785,5,2,3,1,1,1,40140
30001811,7,1,2,0,1,2,38060
30001865,1,1,4,0,1,3,26420
30001888,6,1,3,0,1,3,31080
30001915,4,1,2,0,4,2,40380
30001917,8,1,3,1,1,2,16980
30001938,1,2,1,0,1,1,16980
30001947,8,1,2,0,1,2,19100
30001956,8,1,2,0,1,2,31080
30001989,4,1,2,0,1,2,45300
30001995,5,2,1,0,1,1,26420
30002049,4,1,2,0,2,3,41940
30002066,11,1,2,0,1,2,19100
30002093,6,2,1,0,1,1,41740
30002095,2,2,1,0,1,1,41860
30002253,3,2,1,0,1,1,40140
30002268,10,2,1,0,1,3,41740
30002274,4,1,1,0,4,1,35620
30002286,1,1,1,0,1,1,41700
30002324,5,2,1,0,1,1,41700
30002329,3,1,1,0,1,1,41740
30002371,4,2,1,0,1,1,26420
30002395,8,1,2,0,1,3,39580
30002408,6,1,2,0,1,3,33340
30002436,3,2,1,0,1,1,16980
30002462,10,1,2,0,1,3,42660
30002480,10,1,3,0,1,3,40900
30002484,5,1,1,0,1,1,40900
30002497,1,1,2,0,4,1,26420
30002507,11,1,5,1,1,1,31080
30002567,7,1,1,0,1,1,41740
30002590,8,1,2,0,1,2,12420
30002618,8,1,1,0,1,1,26420
30002639,9,1,4,1,4,5,12060
30002645,4,2,1,0,1,1,37980
30002721,5,2,1,0,1,1,19100
30002756,7,1,2,0,1,3,41740
30002762,10,1,3,0,1,2,40140
