HOUSEID,PERSONID,DRIVER,EDUC,R_AGE,R_RACE,R_SEX_IMP,WORKER
30000008,1,1,5,55,1,1,1
30000008,2,1,4,49,1,2,1
30000085,1,1,4,30,97,1,1
30000107,1,1,3,61,1,1,2
30000107,2,1,3,59,6,2,2
30000130,1,1,5,45,1,2,1
30000130,2,1,4,45,1,1,1
30000161,1,1,5,67,1,1,2
30000161,2,1,5,72,1,2,2
30000161,3,2,2,50,1,1,2
30000167,1,2,5,86,1,2,2
30000227,1,1,4,69,1,2,2
30000227,2,2,4,68,1,1,2
30000266,1,2,3,33,2,2,2
30000271,1,1,3,76,1,2,2
30000301,1,1,4,72,1,1,2
30000301,2,1,3,54,1,2,2
30000302,1,1,5,56,1,2,1
30000302,2,1,4,56,1,1,1
30000302,3,1,1,17,1,2,2
30000309,1,1,5,68,1,1,1
30000309,2,1,3,37,3,2,2
30000341,1,1,5,61,1,2,1
30000341,2,1,5,28,1,1,1
30000341,3,1,4,24,1,1,1
30000400,1,1,3,51,2,2,1
30000400,2,1,3,23,2,2,1
30000428,1,1,5,73,1,2,1
30000439,1,1,5,57,1,1,1
30000439,2,1,3,57,1,2,2
30000439,3,1,2,18,1,1,2
30000439,4,1,3,19,1,1,1
30000450,1,2,3,39,2,2,1
30000451,1,1,4,61,1,1,2
30000451,2,1,3,60,1,2,2
30000496,1,2,4,86,1,2,2
30000496,2,1,5,64,1,1,1
30000503,1,1,3,60,1,1,2
30000503,2,1,3,58,1,2,1
30000518,1,1,3,64,1,2,1
30000518,2,1,3,67,1,1,1
30000526,1,1,4,46,1,1,1
30000539,1,1,4,49,2,2,1
30000564,1,1,3,60,1,1,2
30000582,1,1,4,55,1,2,1
30000582,2,1,4,61,1,1,2
30000586,1,1,3,58,1,2,2
30000616,1,1,4,30,1,2,1
30000616,2,1,4,29,1,1,1
30000710,1,1,5,57,1,1,1
30000710,2,1,3,69,1,2,1
30000763,1,1,5,67,1,2,2
30000775,1,1,5,68,1,2,2
30000775,2,1,5,73,1,1,2
30000784,1,1,4,51,1,1,1
30000817,1,1,4,24,1,1,1
30000828,1,1,2,87,1,2,2
30000854,1,1,3,60,1,1,2
30000854,2,1,2,58,1,2,1
30000860,1,1,3,65,1,1,2
30000860,2,1,2,68,1,2,2
30000885,1,1,3,56,2,1,2
30000885,2,1,2,59,2,1,2
30000931,1,1,4,69,1,2,2
30000931,2,1,2,68,1,1,2
30000946,1,1,4,41,1,1,1
30000946,2,1,5,47,1,2,1
30000960,1,1,5,29,1,1,1
30000960,2,1,4,28,1,2,2
30001008,1,1,5,65,1,2,2
30001013,1,1,4,48,1,2,1
30001039,1,1,5,59,1,2,2
30001095,1,1,3,72,1,1,2
30001095,2,1,3,70,1,2,2
30001109,1,1,4,29,3,1,1
30001109,2,2,4,28,3,2,2
30001117,1,1,4,63,2,1,2
30001117,2,1,4,57,2,2,2
30001225,1,1,3,66,1,2,2
30001225,2,1,3,68,1,1,1
30001250,1,1,3,53,1,2,1
30001262,1,1,4,58,1,1,1
30001262,2,1,3,48,1,2,1
30001270,1,1,5,73,1,1,2
30001270,2,1,5,75,1,2,2
30001280,1,1,5,46,3,1,1
30001280,2,1,5,45,3,2,1
30001301,1,1,5,32,1,1,1
30001301,2,1,5,32,1,2,1
30001303,1,1,3,55,2,1,1
30001303,2,2,1,17,2,2,2
30001344,1,1,4,58,1,2,2
30001381,1,1,5,69,1,2,2
30001381,2,1,5,68,1,1,2
30001384,1,1,4,78,1,1,2
30001384,2,1,4,74,1,2,2
30001394,1,1,3,67,1,1,1
30001394,2,1,3,67,1,2,1
30001396,1,1,5,29,3,2,1
30001396,2,1,5,29,97,1,1
30001409,1,1,5,60,1,2,1
30001409,2,1,4,62,1,2,1
30001442,1,1,5,48,1,2,2
30001442,2,1,5,69,1,1,1
30001447,1,1,2,46,1,1,1
30001447,2,1,3,45,1,2,1
30001447,3,1,4,24,1,2,1
30001447,4,1,3,20,1,1,1
30001447,5,1,3,18,1,1,2
30001475,1,1,4,78,1,1,2
30001485,1,1,2,85,1,2,2
30001506,1,1,5,28,1,2,2
30001506,2,1,5,30,1,1,1
30001511,1,1,2,58,1,2,1
30001511,2,1,2,58,1,1,1
30001549,1,1,3,24,3,1,1
30001556,1,1,3,65,1,1,1
30001556,2,1,3,58,1,2,1
30001593,1,1,2,85,1,2,2
30001593,2,2,3,92,1,1,2
30001608,1,1,5,31,1,1,1
30001608,2,1,5,31,1,2,1
30001625,1,2,1,53,1,1,2
30001629,1,1,4,58,3,1,2
30001629,2,1,4,58,1,2,2
30001645,1,1,3,71,1,2,2
30001645,2,1,3,62,1,1,1
30001646,1,1,5,33,3,1,1
30001654,1,1,5,42,1,1,1
30001654,2,1,4,35,1,2,2
30001685,1,1,4,55,1,1,1
30001707,1,1,3,30,1,2,1
30001755,1,1,4,68,2,1,2
30001755,2,1,2,68,2,2,2
30001757,1,1,4,77,1,1,2
30001774,1,2,5,43,1,2,1
30001785,1,1,3,59,3,2,1
30001785,2,2,3,32,3,2,1
30001811,1,1,3,54,1,1,1
30001811,2,1,3,47,1,2,1
30001865,1,1,5,51,3,1,1
30001865,2,1,4,50,3,2,1
30001865,3,1,2,18,3,1,2
30001865,4,1,1,16,3,1,2
30001888,1,1,2,82,1,1,2
30001888,2,1,2,56,1,1,2
30001888,3,2,1,17,1,2,2
30001915,1,1,1,58,1,1,2
30001915,2,1,2,48,1,2,2
30001917,1,1,5,32,1,1,1
30001917,2,1,5,33,1,2,1
30001938,1,1,1,77,2,1,2
30001947,1,1,4,42,1,2,1
30001947,2,1,2,50,1,2,1
30001956,1,1,3,64,1,1,2
30001956,2,1,3,63,1,2,2
30001989,1,1,3,72,1,1,2
30001989,2,1,2,71,1,2,2
30001995,1,1,4,76,1,2,2
30002049,1,1,3,62,1,2,2
