HOUSEID,PERSONID,GASPRICE,TRAVDAY,TDAYDATE,TRPTRANS,TRPMILES,TRVLCMIN
30000008,1,225.9,5,201608,2,16.034,25
30000085,1,259.6,1,201608,1,2.326,55
30000107,1,202.1,6,201612,2,68.918,100
30000107,1,202.1,6,201612,10,6.524,15
30000107,2,202.1,6,201612,2,36.825,53
30000130,1,240.8,1,201605,1,11.206,64
30000130,1,240.8,1,201605,4,11.229,75
30000161,1,219.8,2,201605,1,0.172,5
30000161,1,219.8,2,201605,2,16.151,90
30000161,2,219.8,2,201605,1,0.345,10
30000161,3,219.8,2,201605,3,2.873,10
30000167,1,276.3,1,201611,7,0.841,18
30000227,1,273.4,1,201607,2,18.159,50
30000227,2,273.4,1,201607,2,18.159,50
30000266,1,242.5,6,201606,1,0.02,3
30000266,1,242.5,6,201606,4,16.261,120
30000266,1,242.5,6,201606,5,21.858,100
30000266,1,242.5,6,201606,6,11.6,45
30000271,1,216.6,2,201610,2,46.729000000000006,105
30000301,1,242.5,3,201605,2,26.896,65
30000301,2,242.5,3,201605,2,26.896,65
30000302,2,207.9,4,201609,2,64.248,99
30000302,3,207.9,4,201609,2,16.09,46
30000309,1,215.2,1,201610,2,3.386,10
30000309,2,215.2,1,201610,2,3.386,10
30000341,1,201.9,5,201604,2,11.001000000000001,44
30000341,2,201.9,5,201604,1,1.496,25
30000341,2,201.9,5,201604,4,10.812,102
30000341,3,201.9,5,201604,1,0.515,16
30000341,3,201.9,5,201604,2,4.849,26
30000400,1,266.3,3,201604,2,29.116,68
30000400,2,266.3,3,201604,2,12.218,55
30000400,2,266.3,3,201604,7,9.173,8
30000428,1,211.8,6,201609,2,18.179000000000002,55
30000439,1,228.3,7,201608,2,18.911,65
30000439,2,228.3,7,201608,2,18.911,65
30000439,4,228.3,7,201608,2,0.163,10
30000450,1,263.7,6,201608,4,40.724999999999994,230
30000451,1,218.0,2,201607,2,19.648000000000003,60
30000451,2,218.0,2,201607,2,19.648000000000003,60
30000496,2,233.8,7,201607,1,1.695,56
30000496,2,233.8,7,201607,2,6.48,30
30000503,1,240.5,3,201607,2,13.324,20
30000503,2,240.5,3,201607,2,54.557,60
30000526,1,225.9,5,201608,2,49.119,85
30000539,1,225.9,5,201608,1,1.923,19
30000539,1,225.9,5,201608,2,49.131,122
30000564,1,228.4,7,201609,2,0.865,2
30000582,1,211.8,2,201608,2,43.077,71
30000582,2,211.8,2,201608,1,0.301,20
30000582,2,211.8,2,201608,2,6.798,29
30000586,1,211.8,6,201609,1,0.334,16
30000586,1,211.8,6,201609,2,4.3870000000000005,10
30000710,1,207.9,2,201609,2,65.247,174
30000763,1,209.4,4,201605,2,23.808,60
30000775,1,220.3,3,201606,2,10.985,45
30000775,2,220.3,3,201606,2,10.149000000000001,77
30000784,1,211.8,1,201609,2,244.628,245
30000817,1,246.5,5,201606,1,0.236,5
30000817,1,246.5,5,201606,2,114.038,238
30000828,1,203.2,5,201611,2,6.476,50
30000854,1,234.2,3,201609,2,29.333,61
30000854,2,234.2,3,201609,2,34.796,66
30000885,1,237.1,4,201606,2,75.57900000000001,140
30000885,2,237.1,4,201606,2,12.719000000000001,15
30000931,1,233.6,3,201610,2,29.66,67
30000931,2,233.6,3,201610,1,0.364,16
30000931,2,233.6,3,201610,2,5.718,25
30000946,1,225.9,7,201608,2,11.24,25
30000946,2,225.9,7,201608,2,41.182,75
30000960,1,225.8,5,201701,2,53.286,79
30000960,2,225.8,5,201701,1,0.167,11
30000960,2,225.8,5,201701,2,39.34,86
30001008,1,243.6,6,201607,2,17.026,50
30001013,1,263.7,6,201608,1,0.106,2
30001013,1,263.7,6,201608,2,25.977,50
30001039,1,245.8,1,201611,2,10.024000000000001,70
30001109,1,223.0,6,201607,4,16.092,90
30001117,1,222.7,2,201608,2,24.679,91
30001117,2,222.7,2,201608,2,12.195,50
30001225,1,212.0,6,201610,2,3.715,20
30001225,2,212.0,6,201610,2,3.715,20
30001250,1,271.2,5,201611,2,12.962,53
30001262,1,228.3,3,201608,2,66.142,138
30001262,2,228.3,3,201608,2,37.799,72
30001270,1,208.7,3,201611,2,35.288000000000004,105
30001280,1,273.8,2,201605,1,0.84,14
30001280,1,273.8,2,201605,2,37.072,118
30001280,2,273.8,2,201605,1,0.84,14
30001280,2,273.8,2,201605,2,37.072,118
30001301,1,208.8,5,201607,1,1.474,25
30001301,1,208.8,5,201607,2,76.72999999999999,175
30001301,2,208.8,5,201607,1,1.474,23
30001301,2,208.8,5,201607,2,57.907999999999994,122
30001303,1,271.6,6,201609,1,0.5,45
30001303,1,271.6,6,201609,2,30.857,115
30001303,1,271.6,6,201609,4,30.085,90
30001303,2,271.6,6,201609,2,66.615,230
30001344,1,275.3,1,201611,2,66.225,118
30001381,1,233.8,4,201607,2,8.98,30
30001381,2,233.8,4,201607,2,20.807,85
30001394,2,267.7,2,201608,2,50.914,157
30001396,1,247.9,4,201612,1,0.063,5
30001396,1,247.9,4,201612,3,5.69,60
30001396,2,247.9,4,201612,1,2.255,75
30001396,2,247.9,4,201612,2,1.562,20
30001409,1,226.3,3,201605,5,57.21,185
30001409,2,226.3,3,201605,2,47.803000000000004,150
30001442,1,209.4,3,201605,1,0.222,2
30001442,1,209.4,3,201605,2,26.282,100
30001442,2,209.4,3,201605,2,22.455,53
30001447,1,224.3,5,201606,2,4.783,11
30001447,1,224.3,5,201606,10,258.658,387
30001447,2,224.3,5,201606,2,33.254000000000005,99
30001447,3,224.3,5,201606,2,90.004,155
30001447,4,224.3,5,201606,2,15.236,38
30001447,5,224.3,5,201606,2,29.608999999999998,76
30001475,1,236.8,3,201609,2,44.18,75
30001485,1,241.3,3,201605,7,4.086,22
30001506,1,211.3,3,201609,1,2.2279999999999998,61
30001506,1,211.3,3,201609,2,19.589,65
30001506,2,211.3,3,201609,1,0.964,10
30001506,2,211.3,3,201609,2,19.857999999999997,39
30001511,1,232.6,1,201608,2,7.272,10
30001556,1,208.5,5,201609,2,44.382999999999996,90
